"type","code","message","context","selector"
"error","WCAG2AA.Principle1.Guideline1_3.1_3_1.H49.Center","Presentational markup used that has become obsolete in HTML5.","<center><br clear=\"all\" id=\"lgpd\"><div ...</center>","html > body > center"
"error","WCAG2AA.Principle1.Guideline1_3.1_3_1.H49.AlignAttr","Align attributes .","<td align=\"center\" nowrap=\"\"><input name=\"ie\" value=\"ISO-885...</td>","html > body > center > form > table > tbody > tr > td:nth-child(2)"
"error","WCAG2AA.Principle1.Guideline1_3.1_3_1.H49.AlignAttr","Align attributes .","<td class=\"fl sblc\" align=\"left\" nowrap=\"\" width=\"25%\"><a href=\"/advanced_search?hl=en...</td>","html > body > center > form > table > tbody > tr > td:nth-child(3)"
"error","WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Fail","This element has insufficient contrast at this conformance level. Expected a contrast ratio of at least 4.5:1, but text in this element has a contrast ratio of 4:1. Recommendation:  change text colour to #e00.","<span style=\"color:#ff0000\">New! </span>","#prm > div > span"
"error","WCAG2AA.Principle1.Guideline1_1.1_1_1.H37","Img element missing an alt attribute. Use the alt attribute to specify a short text alternative.","<img jstcache=\"94\" style=\"display:none\">","#omnibox-singlebox > div:nth-child(1) > div:nth-child(1) > button > img:nth-child(2)"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.Button.Name","This button element does not have a name available to an accessibility API. Valid names are: title undefined, element content, aria-label undefined, aria-labelledby undefined.","<button jstcache=\"161\" class=\"\" style=\"display:none\"></button>","#fineprint > div > div > button:nth-child(4)"
