type,code,message,context,selector
Warning,WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.BgImage,This element's text is placed on a background image. Ensure the contrast ratio between the text and all covered parts of the image are at least 4.5:1.,"\u003Cp>...\u003C/p>""",p
Warning,WCAG2AA.Principle2.Guideline2_5.2_5_3.F96,Accessible name for this element does not contain the visible label text. Check that for user interface components with labels that include text or images of text- the name contains the text that is presented visually.,"\u003Ca class=\""cta-button-link\"" target=\""_self\"" data-speedbump-enabled=\""false\"" href=\""https://www3.mtb.com/homepage/explore-the-m-and-t-bank-help-center/covid-19-response/covid-19-business?pid=MTNP21AK1\"" aria-label=\""Learn about our Personal Checking Options and PPP\"" data-id=\""-799699594\"" data-comp-type=\""cta-button\"" data-tag-type=\""off\"">...\u003C/a>""",a
Warning,WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs,This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.,"\u003Cspan class=\""help-center-heading -small\"">...\u003C/span>""",span
Warning,WCAG2AA.Principle1.Guideline1_4.1_4_3.G145.Abs,This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 3:1.,"\u003Cspan class=\""help-center-heading -large\"">...\u003C/span>""",span
Error,WCAG2AA.Principle3.Guideline3_2.3_2_2.H32.2,"This form does not contain a submit button- which creates issues for those who cannot submit the form using the keyboard. Submit buttons are INPUT elements with type attribute \""submit\"" or \""image\""- or BUTTON elements with type \""submit\"" or omitted/invalid.","\u003Cform action=\""#\"" method=\""post\"" class=\""help-center-form\"">...\u003C/form>""",form
Error,WCAG2AA.Principle2.Guideline2_4.2_4_1.G1-G123-G124.NoSuchID,"This link points to a named anchor \""search-modal\"" within the document- but no anchor exists with that name.","\u003Ca href=\""#search-modal\"" class=\""help-center-icon-magnifying-glass-link\"" aria-label=\""Search- use escape key to exit modal window.\"" aria-haspopup=\""true\"" role=\""button\"">...\u003C/a>""",a
Warning,WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.BgImage,This element's text is placed on a background image. Ensure the contrast ratio between the text and all covered parts of the image are at least 4.5:1.,"\u003Cdiv class=\""convenience-section-sub-title\"">...\u003C/div>""",div
Warning,WCAG2AA.Principle1.Guideline1_4.1_4_3.G145.BgImage,This element's text is placed on a background image. Ensure the contrast ratio between the text and all covered parts of the image are at least 3:1.,"\u003Ch2 class=\""cmp-title__text  -default-theme\"">...\u003C/h2>""",h2
Warning,WCAG2AA.Principle1.Guideline1_1.1_1_1.H67.2,Img element is marked so that it is ignored by Assistive Technology.,"\u003Cimg data-src=\""/content/dam/mtb-web/images/personal-home-page/zelle.png\"" class=\""convenience-section-icon-image lazyload\"" alt=\""\"">""",img
Warning,WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.BgImage,This element's text is placed on a background image. Ensure the contrast ratio between the text and all covered parts of the image are at least 4.5:1.,"\u003Ch3 class=\""convenience-section-icon-title -extra-padding\"">...\u003C/h3>""",h3
Warning,WCAG2AA.Principle1.Guideline1_1.1_1_1.H67.2,Img element is marked so that it is ignored by Assistive Technology.,"\u003Cimg data-src=\""/content/dam/mtb-web/images/personal-home-page/deposit-checks.png\"" class=\""convenience-section-icon-image lazyload\"" alt=\""\"">""",img
Warning,WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.BgImage,This element's text is placed on a background image. Ensure the contrast ratio between the text and all covered parts of the image are at least 4.5:1.,"\u003Ch3 class=\""convenience-section-icon-title\"">...\u003C/h3>""",h3
Warning,WCAG2AA.Principle1.Guideline1_1.1_1_1.H67.2,Img element is marked so that it is ignored by Assistive Technology.,"\u003Cimg data-src=\""/content/dam/mtb-web/images/personal-home-page/android-ios.png\"" class=\""convenience-section-icon-image lazyload\"" alt=\""\"">""",img
Warning,WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.BgImage,This element's text is placed on a background image. Ensure the contrast ratio between the text and all covered parts of the image are at least 4.5:1.,"\u003Ch3 class=\""convenience-section-icon-title\"">...\u003C/h3>""",h3
Warning,WCAG2AA.Principle1.Guideline1_1.1_1_1.H67.2,Img element is marked so that it is ignored by Assistive Technology.,"\u003Cimg data-src=\""/content/dam/mtb-web/images/personal-home-page/track-your-spending.png\"" class=\""convenience-section-icon-image lazyload\"" alt=\""\"">""",img
Warning,WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.BgImage,This element's text is placed on a background image. Ensure the contrast ratio between the text and all covered parts of the image are at least 4.5:1.,"\u003Ch3 class=\""convenience-section-icon-title\"">...\u003C/h3>""",h3
Warning,WCAG2AA.Principle1.Guideline1_3.1_3_1.H48,If this element contains a navigation section- it is recommended that it be marked up as a list.,"\u003Cdiv class=\""convenience-section-mobile-buttons\"">...\u003C/div>""",div
Warning,WCAG2AA.Principle1.Guideline1_1.1_1_1.H67.2,Img element is marked so that it is ignored by Assistive Technology.,"\u003Cimg data-src=\""/content/dam/mtb-web/images/fricanHeritageComFocusBg.jpg\"" class=\""image lazyload\"" alt=\""\"">""",img
Warning,WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.BgImage,This element's text is placed on a background image. Ensure the contrast ratio between the text and all covered parts of the image are at least 4.5:1.,"\u003Cdiv class=\""sub-title\"">...\u003C/div>""",div
Warning,WCAG2AA.Principle1.Guideline1_4.1_4_3.G145.BgImage,This element's text is placed on a background image. Ensure the contrast ratio between the text and all covered parts of the image are at least 3:1.,"\u003Ch3 class=\""main-title\"">...\u003C/h3>""",h3
Warning,WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.BgImage,This element's text is placed on a background image. Ensure the contrast ratio between the text and all covered parts of the image are at least 4.5:1.,"\u003Cp class=\""description\"">...\u003C/p>""",p
Error,WCAG2AA.Principle2.Guideline2_4.2_4_1.G1-G123-G124.NoSuchID,"This link points to a named anchor \""community-focus-modal\"" within the document- but no anchor exists with that name.","\u003Ca data-speedbump-enabled=\""false\"" href=\""#community-focus-modal\"" class=\""buttonLabel\"" aria-label=\""Watch Their Story- use escape key to exit modal window.\"" aria-haspopup=\""true\"" role=\""button\"">...\u003C/a>""",a
